Year,Quarter,Origin City,Origin State,Destination City,Destination State,Passengers,MktFare,MktDistance,MktMilesFlown,Price Per Person (USD),Route,Is_Group,Fare_per_Mile,Log_Price_Per_Person,Route_Count,Route_Mean,Airline Code_AS,Airline Code_B6,Airline Code_DL,Airline Code_F9,Airline Code_UA,Airline Code_WN,Dist_Med,Dist_Long,Dist_XL,Predicted Price Per Person (USD)
2024,3,San Francisco,CA,Honolulu,HI,1,847,2398,2398,847,San Francisco–Honolulu,0,0.3532110092,6.742880636,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,855,2398,2398,855,San Francisco–Honolulu,0,0.3565471226,6.752270376,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,858,2398,2398,858,San Francisco–Honolulu,0,0.3577981651,6.755768922,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,2,861,2398,2398,430.5,San Francisco–Honolulu,1,0.1795246038,6.067267511,3388,389.4728459,0,0,0,0,1,0,0,1,0,184.0232892
2024,3,San Francisco,CA,Honolulu,HI,1,862,2398,2398,862,San Francisco–Honolulu,0,0.3594662219,6.760414691,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,863,2398,2398,863,San Francisco–Honolulu,0,0.359883236,6.761572769,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,865,2398,2398,865,San Francisco–Honolulu,0,0.3607172644,6.763884909,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,2,870,2398,2398,435,San Francisco–Honolulu,1,0.1814011676,6.077642243,3388,389.4728459,0,0,0,0,1,0,0,1,0,184.0232892
2024,3,San Francisco,CA,Honolulu,HI,1,876,2398,2398,876,San Francisco–Honolulu,0,0.3653044204,6.776506992,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,879,2398,2398,879,San Francisco–Honolulu,0,0.3665554629,6.779921907,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,884,2398,2398,884,San Francisco–Honolulu,0,0.3686405338,6.785587645,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
